"country","SFTGcode","COW","risk_in_2020","risk_in_2020_21","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Chad","CHA",483,0.01659,0.03562,0,1,1,0,0,0,0,4.0943445622221,16.5847735059427,8.44985206971104,3.24718191743432,1,1,1,0.86,5.22035582507832,0,4,0,3,0,1,1,0.397,0,0,0,1,-1.221,4.31174532934977,0
"Cameroon","CAO",471,0.01601,0.02548,0,0,1,0,0,0,0,4.0943445622221,17.068841141461,7.1133676975115,4.01721604289253,1,1,1,0.86,6.54247196050681,0,4,1,4,0,1,0,0.6,0,0,0,1,-0.16,3.70263224566276,0
"Indonesia","INS",850,0.01539,0.03585,0,1,0,1,0,0,0,4.26267987704132,19.4162467555641,4.59347363114234,5.02471402216969,0,1,0,0.74,0,0,4,2,2,0,1,0,0.792,0,0,0,1,0.395,3.61908441790212,0
"Morocco","MOR",600,0.01514,0.047,0,0,0,0,0,1,0,4.15888308335967,17.4120490672296,4.38178046004133,2.3,0,1,0,0.48,0,1,4,2,2,0,0,0,0.611,0,0,0,1,-0.295,4.47121801934437,0
"Uzbekistan","UZB",704,0.01482,0.02694,0,0,0,0,0,0,1,3.36729582998647,17.3294605661863,4.37035467668243,5.5637239532422,1,1,1,0.41,0,1,3,1,2,0,0,0,0.557,0,0,0,1,0.128,4.29069061713587,0
"Angola","ANG",540,0.0146,0.03284,0,1,1,0,0,0,0,3.80666248977032,17.275771971807,7.18331399842719,-0.869393785304467,1,1,1,0.79,3.25809653802148,1,4,1,3,0,1,1,0.554,0,0,0,1,-1.373,4.19536585608481,0
"Egypt","EGY",651,0.01459,0.03281,0,1,0,0,0,1,0,4.20469261939097,18.4245539633445,4.25440947723653,5.55768388791593,1,1,0,0.18,6.10702288774226,1,3,1,2,0,1,0,0.125,0,0,0,1,-0.102,3.87698158489278,0
"Laos","LAO",812,0.01422,0.0234,0,1,0,1,0,0,0,4.26267987704132,15.7853401985292,6.13188388670236,4.65188711866027,0,1,1,0.51,0,1,0,1,2,1,0,0,0.063,0,0,0,1,-0.039,4.31871257585152,0
"Mali","MLI",432,0.01371,0.02267,0,0,1,0,0,0,0,4.0943445622221,16.7939965150736,7.87400787401181,5.04000000192866,1,1,0,0.69,6.40357419793482,1,4,1,3,0,1,1,0.915,0,0,0,1,1.243,4.04636152509306,0
"Philippines","PHI",840,0.01363,0.01773,1,1,0,1,0,0,0,4.80402104473326,18.4987209710763,4.74341649025257,6.04057525673343,1,1,1,0.24,5.73657229747919,1,4,1,4,0,1,1,0.676,0,0,0,1,-0.535,4.22839320112204,0
"Uganda","UGA",500,0.01357,0.03503,0,1,1,0,0,0,0,4.06044301054642,17.6058086336701,5.81377674149945,6.50734252680792,1,1,1,0.93,5.80814248998044,1,4,1,3,1,1,1,0.259,0,1,0,1,1.607,3.82905137120712,0
"Kenya","KEN",501,0.01349,0.02477,0,0,1,0,0,0,0,4.04305126783455,17.7777317453632,5.53172667437573,5.36574896547464,0,1,0,0.86,4.12713438504509,1,4,1,4,0,1,0,0.838,0,0,0,1,0.442,3.50859910467245,0
"Bangladesh","BNG",771,0.01234,0.0266,0,1,0,0,0,0,1,3.89182029811063,18.9095439149975,5.00999001995014,8.15268494677524,0,1,0,0.05,0,1,3,1,3,0,1,0,0.338,0,0,0,1,-2.393,3.60439124804036,0
"Tajikistan","TAJ",702,0.0123,0.01883,0,0,0,0,0,0,1,3.36729582998647,16.0477824081647,5.51361950083609,7.01126898499351,1,1,1,0.51,0,1,2,1,1,0,0,0,0.287,0,0,0,1,-1.79,4.03676389736265,0
"Ivory Coast","IVO",437,0.01203,0.02617,0,1,1,0,0,0,0,4.0943445622221,17.0626450781652,7.70713954719908,6.85233458692178,1,1,1,0.82,0,1,4,1,4,0,1,1,0.743,0,0,0,1,-0.394,3.81984366666807,0
"Niger","NIR",436,0.01199,0.01741,0,0,1,0,0,0,0,4.0943445622221,16.9644236840722,6.92820323027551,5.828590083927,1,1,0,0.65,5.70044357339069,1,4,1,4,0,1,1,0.723,0,0,0,0,1.974,3.68167748169678,0
"Tanzania","TAZ",510,0.01164,0.02608,0,1,1,0,0,0,0,4.07753744390572,17.8760477537303,6.13188388670236,5.79137137632071,0,1,0,0.74,0,1,4,1,3,0,1,1,0.713,0,0,0,0,0.943,3.47317506989289,0
"Iran","IRN",630,0.0112,0.02552,0,1,0,0,0,1,0,6.25190388316589,18.2333133503082,3.5213633723318,0.037,0,1,1,0.67,3.40119738166216,0,2,1,1,0,1,0,0.336,0,0,0,1,-0.238,3.88733346467766,0
"Nicaragua","NIC",93,0.01081,0.01808,0,1,0,0,0,0,0,5.2040066870768,15.6942886541557,3.96232255123179,-3.87850990043628,1,1,1,0.48,0,1,4,0,3,0,0,0,0.151,0,0,0,1,-0.477,4.55467281151928,0
"Nepal","NEP",790,0.01067,0.0183,0,1,0,0,0,0,1,5.52942908751142,17.1692217748801,5.16720427310553,6.99121243755611,1,1,0,0.66,0,1,4,2,3,0,1,0,0.766,0,0,0,0,0.465,4.00598538894044,0
"South Africa","SAF",560,0.01059,0.02199,0,1,1,0,0,0,0,4.70048036579242,17.8855328848312,5.33853912601566,0.152583316664234,1,1,0,0.75,0,1,4,1,4,0,1,1,0.784,0,0,0,1,1.477,4.08099816157934,0
"Sierra Leone","SIE",451,0.01046,0.01845,0,1,1,0,0,0,0,4.07753744390572,15.8713270888391,8.86002257333468,5.51346016799847,1,1,0,0.82,0,0,4,1,4,0,1,1,0.855,0,0,0,0,0.562,4.03770067425865,0
"Guinea","GUI",438,0.01044,0.02119,0,1,1,0,0,0,0,4.12713438504509,16.3627067956842,8.05605362444913,5.5769689028111,1,1,0,0.74,0,1,4,1,3,0,1,1,0.662,0,0,0,1,-1.056,4.68878337124512,0
"Equatorial Guinea","EQG",411,0.01031,0.01417,0,1,1,0,0,0,0,3.95124371858143,14.1200394229454,7.91201617794099,-5.57630845388924,1,1,1,0.35,0,1,2,1,3,0,0,0,0.231,0,0,0,1,-1.082,4.67638619144142,0
"Thailand","THI",800,0.009674,0.019,0,1,0,1,0,0,0,6.50727771238501,18.0586426152432,2.79284800875379,2.37187626010143,0,1,1,0.63,4.02535169073515,1,4,1,4,0,1,1,0.255,0,0,0,1,0.378,4.70319663306713,0
"Russia","RUS",365,0.009426,0.01418,0,1,0,0,1,0,0,3.36729582998647,18.7879144920027,2.46981780704569,1.3418754406612,1,1,0,0.25,3.29583686600433,1,3,1,2,0,1,1,0.572,0,0,0,0,-0.628,3.89333078668862,0
"Eritrea","ERI",531,0.009026,0.01303,0,0,1,0,0,0,0,3.29583686600433,15.6207119451237,5.59464029227975,0.05,0,1,1,0.65,0,1,0,1,1,0,0,0,0.081,0,0,1,1,0.556,-1.71484664710867,0
"Malawi","MAW",553,0.008786,0.01698,0,1,1,0,0,0,0,4.02535169073515,16.7402164832037,5.94138031100518,4.36923898629438,1,1,0,0.67,0,0,4,1,4,0,1,1,0.858,0,0,0,1,-0.203,4.19877228670607,0
"Brazil","BRA",140,0.008694,0.01648,0,0,0,0,0,0,0,5.27299955856375,19.1676033890152,3.57770876399966,1.13658557200958,0,1,0,0.54,0,1,4,1,3,0,1,1,0.784,0,0,0,1,-0.578,3.36648942375302,0
"Madagascar","MAG",580,0.008669,0.01486,0,0,1,0,0,0,0,4.0943445622221,17.1102099995689,6.18061485614498,4.79999999990962,1,1,0,0.88,0,1,4,1,4,0,1,1,0.654,0,0,0,1,0.246,4.0913760622549,0
